"url","street_address","city_state_zip","price","square_feet","listing_status","last_modified","living-great_room_level","living-great_room_length","living-great_room_width","kitchen_level","second_bedroom_level","kitchen_length","second_bedroom_length","kitchen_width","second_bedroom_width","master_bedroom_level","3rd_bedroom_level","master_bedroom_length","3rd_bedroom_length","master_bedroom_width","3rd_bedroom_width","contingent","postal_municipality","county","zip_4","flood_plain","tax_key_number","taxes","tax_year","est_acreage","source_est_acreage","zoning","listing_date","dom","u1__of_rooms","u1_bedrooms","u1_total_bathrooms","u1_full_baths","u1_half_baths","u1_rent-mo","u1_security_dep","u1_lease_exp_dt","_rooms_u2","bedrooms_u2","full_baths_u2","half_baths_u2","est_year_built","source_est_yr_built","est_total_sq_ft","source_total_sqft","garage_spaces","garage_type","school_district","directions","inclusions","flyer_headline","dining_room_level","dining_room_length","dining_room_width","est_sq_ft_unit_2","rent-month_unit_2","sec_deposit_unit_2","occupancy_unit_2","lease_exp_unit_2","u1_mtm-own-vac","high_school","middle_school","elementary_school","exclusions","laundry","security_deposit","occupied","code_comp","sched_gross_income","gross_operating_inc","total_operating_exp","net_operating_income","avg_rent_unit_1","avg_rent_unit_2","avg_rent_unit_3","_of_units_type_1","_of_units_type_2","_of_units_type_3","number_of_units","source_total_sq_ft","parking_inside","parking_outside","start_showing_date","coordinates","lot_description","u1_budget_heat"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210221211710599404000000","2732 n oakland ave, 2734","milwaukee, wi 53211","305000","2054 ","Active (C)","12:17pm, march 21, 2021","upper","14","13","upper","upper","15","9","12","8","upper","upper","10","9","10","9","","milwaukee","","3533","no","","4572","2020","0.08","public_records","","february_22_2021","28","5","3","1","1","0","1350","1350","6-30-21","5","3","1","0","1894","public_records","2054","public_records","2","detached","","","2_refrigerators_2_stove-ranges_2_dishwashers.__1_coin_washer_1_coin_dryer","great_eastside_duplex_for_sale","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210304163237515986000000","1509 s 77th st","west allis, wi 53214","199900","1056 ","Active (C)","12:01pm, march 21, 2021","main","13","12","main","main","12","9","10","8","main","main","9","9","8","8","","west_allis","","4634","no","","3340","2020","0.1","public_records","","march_18_2021","4","6","3","1","1","0","720","-","-","6","2","1","0","1913","public_records","2497","broker_or_agent","1.5","attached","","","in_second_floor_unit_refrigerator_and_stove_divider_cabinet_between_kitchen_and_living_room_any_window_treatments_left_at_property_at_closing.","-","main","13","13","1056","645","590","mtm","9-30-21","vac","","","","all_tenant_owned_property_including_refrigerator_stove_and_wall_air_conditioner_in_1st_floor_unit_washer_and_dryer_in_basement_and_items_in_garage.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210304165038546957000000","1509 s 77th st","west allis, wi 53214","199900","2497 ","Active (C)","12:00pm, march 21, 2021","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","west_allis","","4634","no","","3340","2020","0.1","public_records","","march_18_2021","4","-","-","-","-","-","-","-","-","-","-","-","-","1913","public_records","2497","-","-","-","","","in_second_floor_unit_refrigerator_and_stove_divider_cabinet_between_kitchen_and_living_room_any_window_treatments_left_at_property_at_closing.","rare_west_allis_3-family_with_3_bed_2_bed_and_studio!","-","-","-","-","-","-","-","-","-","","","","all_tenant_owned_property_including_refrigerator_stove_and_wall_air_conditioner_in_1st_floor_unit_washer_and_dryer_in_basement_and_items_in_garage.","common","yes","yes","unknown","22380","22380","5988","16392","720","645","500","1","1","1","3","broker_or_agent","1","3","-","-","-","-"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210312225032791117000000","8432 w keefe ave, 8434","milwaukee, wi 53222","156000","2002 ","New Listing","10:34am, march 21, 2021","upper","20","14","upper","upper","14","13","12","10","upper","-","14","-","11","-","-","milwaukee","","2819","no","","3459.31","2020","0.13","public_records","","march_21_2021","1","4","2","1","1","0","-","-","-","4","2","1","0","1954","public_records","2002","public_records","2","detached","","","refrigerator_x2_oven-range_x2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210303165519373690000000","2330 n 55th st, 2332","milwaukee, wi 53210","215000","1425 ","Active","10:11am, march 21, 2021","upper","21","12","upper","upper","13","12","12","11","upper","upper","12","10","12","8","-","milwaukee","","-","no","","5501","2020","0.11","public_records","","march_3_2021","12","6","2","1","1","0","900","900","-","6","2","1","0","1924","public_records","2850","public_records","2","detached","","-","upper_unit_stove_refrigeratorbasement_stove_refrigerator","-","upper","14","11","1425","850","450","-","-","mtm","-","-","-","seller_and_tenants_personal_property.lower_unit_stove_refrigerator","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","march_10_2021","","-","-"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210318192808199072000000","2212 s 68th st.","west allis, wi 53219","185000","1116 ","New Listing","9:42am, march 21, 2021","upper","10","10","upper","main","10","10","10","10","upper","-","10","-","9","-","-","west_allis","","1901","no","","3292.05","2020","0.08","public_records","","march_18_2021","4","5","2","1","1","0","650","650","-","5","1","1","0","1926","public_records","1116","public_records","2.5","detached","","","2_stoves_2_refrigerators","awesome_duplex!","upper","15","9","-","775","1000","-","03-31-21","mtm","-","-","-","tenants_personal_property","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",".083","-"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210218011005894238000000","2923 n 75th st, 2925","milwaukee, wi 53210","274900","2559 ","Active","8:13am, march 21, 2021","upper","14","11","upper","upper","10","12","10","11","upper","-","11","-","10","-","-","milwaukee","","1025","no","","5062","2020","0.12","public_records","","february_23_2021","23","6","2","1","1","0","1075","1075","06-30-2021","6","2","1","0","1931","public_records","2559","public_records","3","detached","","","2_refrigerators_2_oven-ranges_2_washers_2_dryers_2_dishwashers","-","upper","13","11","-","1150","1150","mtm","-","-","-","-","-","tenant_washer_and_dryer_on_north_side_of_basement_seller_and_tenant_personal_property","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","february_27_2021","-","-","-"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210312174852480427000000","2169 s 15th pl","milwaukee, wi 53215","179900","3192 ","Active","7:53am, march 21, 2021","main","12","12","main","main","15","8","12","7","main","-","12","-","7","-","-","milwaukee","","2641","no","","1825.23","2020","0.06","public_records","","march_12_2021","10","4","2","1","1","0","975","-","-","4","2","1","0","1890","public_records","3192","builder","3","none","","","-","-","-","-","-","-","650","-","-","-","own","-","-","-","appliances_and_tenants_property","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210309050642103367000000","5408 w cherry st","milwaukee, wi 53208","189900","1583 ","Active (C)","1:59am, march 21, 2021","upper","13","11","upper","upper","12","12","8","11","upper","-","12","-","11","-","","milwaukee","","2105","no","","2458","2020","0.11","public_records","","march_18_2021","4","5","1","1","1","0","850","850","-","6","2","1","0","1911","public_records","1583","public_records","2","detached","","","x2_oven-ranges_x2_refrigerators_edo__x1_remote_washer_dryer_windowac_unit_all_window_blinds.","awesome_2-1_@_family","main","12","10","-","-","-","-","-","-","-","-","-","sellers_amp_tenants_personal_property_any_staging_materialssecond_floor_fireplace_tv_stand_any_free-standing_shelving_on_premises_front_porch_hanging_swing_second_floor_curtains.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"https://my.flexmls.com/chrisantonicci/search/saved_searches/20210317211216945809000000/listings/20210111212725329892000000","2433 n cramer st, 2435","milwaukee, wi 53211","234900","2148 ","Active (C)","7:54pm, march 20, 2021","lower","12","10","lower","lower","12","9","11","9","lower","lower","10","9","9","9","","milwaukee","","-","no","","5992","2020","0.09","public_records","","january_29_2021","46","6","3","1","1","0","1150","1150","9-30-2021","6","3","1","0","1904","public_records","2148","public_records","0","none","","","kitchen_appliances_window_treatments_hardware_rods_drapery_blinds_light_fixtures","-","lower","12","12","-","-","-","vac","-","mtm","-","-","-","sellers_personal_property","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","february_4_2021","-","-","100"
